Second,RPM,Battery,Flow
0,100,98,100
1,100,97,100
2,100,97,99
3,100,97,98
4,100,97,97
5,100,97,96
6,97,97,97
7,97,97,96
8,100,97,96
9,97,97,96
10,94,97,96
11,94,97,95
12,91,97,95
13,88,97,96
14,85,97,96
15,82,97,97
16,85,97,97
17,82,97,98
18,85,97,97
19,88,97,96
20,88,97,95
21,91,97,95
22,94,97,95
23,97,97,95
24,94,97,95
25,91,97,95
26,94,97,96
27,97,97,97
28,94,97,98
29,94,97,99
30,97,97,99
31,97,97,99
32,94,97,100
33,91,97,100
34,94,97,100
35,97,97,99
36,94,97,98
37,94,96,99
38,94,96,98
39,91,96,99
40,91,96,100
41,88,96,101
42,91,96,101
43,91,96,101
44,88,96,100
45,85,96,99
46,88,96,98
47,88,96,97
48,88,96,96
49,91,96,97
50,88,96,96
51,85,96,96
52,82,96,96
53,82,96,96
54,79,96,96
55,76,96,97
56,79,96,96
57,82,96,96
58,85,96,96
59,82,96,96
60,85,96,96
61,82,96,96
62,79,96,95
63,76,96,95
64,79,96,95
65,82,96,96
66,85,96,96
67,88,96,96
68,91,96,97
69,91,96,97
70,94,96,98
71,91,96,98
72,91,96,98
73,91,95,97
74,91,95,98
75,94,95,98
76,91,95,99
77,91,95,99
78,91,95,98
79,91,95,99
80,94,95,98
81,94,95,97
82,94,95,97
83,91,95,98
84,91,95,97
85,94,95,97
86,97,95,97
87,97,95,96
88,100,95,96
89,97,95,96
90,94,95,97
91,94,95,96
92,91,95,95
93,94,95,96
94,91,95,96
95,91,95,97
96,91,95,96
97,94,95,96
98,91,95,96
99,88,95,95
100,88,95,95
101,88,95,96
102,85,95,96
103,88,95,95
104,91,95,95
105,91,95,95
106,94,95,95
107,97,95,95
108,100,95,95
109,100,94,95
110,100,94,95
111,97,94,95
112,94,94,95
113,94,94,95
114,97,94,96
115,94,94,95
116,94,94,95
117,91,94,95
118,91,94,96
119,94,94,96
120,97,94,97
121,100,94,98
122,97,94,97
123,94,94,97
124,94,94,98
125,97,94,98
126,97,94,99
127,94,94,98
128,94,94,97
129,91,94,98
130,91,94,97
131,88,94,96
132,91,94,95
133,94,94,95
134,97,94,95
135,100,94,95
136,100,94,95
137,97,94,95
138,97,94,96
139,94,94,95
140,94,94,95
141,94,94,96
142,97,94,95
143,94,94,95
144,94,94,95
145,94,93,95
146,91,93,95
147,88,93,95
148,88,93,95
149,85,93,95
150,82,93,96
151,79,93,95
152,79,93,96
153,76,93,95
154,73,93,95
155,70,93,95
156,70,93,95
157,73,93,96
158,70,93,95
159,70,93,95
160,70,93,96
161,73,93,95
162,76,93,95
163,76,93,95
164,73,93,96
165,73,93,97
166,76,93,98
167,76,93,98
168,73,93,98
169,70,93,98
170,70,93,97
171,73,93,98
172,76,93,97
173,73,93,98
174,70,93,97
175,73,93,98
176,76,93,97
177,79,93,98
178,79,93,97
179,82,93,98
