time(s),RPM,Battery,Flow Rate,Blood Pressure
0,85,86,100,86
1,88,85,100,86
2,85,85,101,86
3,82,85,100,86
4,82,85,100,86
5,82,85,100,85
6,79,85,100,86
7,82,85,101,87
8,85,85,100,87
9,85,85,99,86
10,82,85,99,87
11,85,85,98,86
12,82,85,98,85
13,79,85,97,85
14,79,85,96,85
15,79,85,97,85
16,82,85,97,86
17,82,85,97,86
18,82,85,98,85
19,79,85,98,84
20,82,85,97,85
21,82,85,96,84
22,79,85,97,85
23,82,85,98,84
24,79,85,97,84
25,76,85,96,84
26,76,85,96,83
27,79,85,96,84
28,82,85,96,84
29,82,85,97,83
30,79,85,98,83
31,79,85,99,82
32,76,85,99,82
33,76,85,100,81
34,73,85,99,82
35,70,85,100,82
36,67,85,101,82
37,67,84,100,82
38,64,84,100,83
39,67,84,99,84
40,64,84,100,83
41,64,84,101,82
42,61,84,100,82
43,64,84,101,81
44,61,84,100,80
45,61,84,100,80
46,61,84,99,80
47,61,84,99,80
48,61,84,98,80
49,64,84,99,81
50,64,84,99,80
51,61,84,99,80
52,61,84,99,81
53,61,84,100,81
54,61,84,100,82
55,61,84,99,82
56,61,84,99,83
57,61,84,100,83
58,61,84,100,82
59,64,84,101,82
60,67,84,100,82
61,70,84,99,83
62,70,84,98,82
63,73,84,97,82
64,73,84,97,82
65,73,84,97,82
66,76,84,97,81
67,76,84,96,82
68,76,84,97,82
69,73,84,96,82
70,73,84,97,82
71,70,84,96,82
72,70,84,96,82
73,70,83,96,81
74,70,83,95,80
75,67,83,95,80
76,70,83,95,81
77,67,83,96,81
78,64,83,97,80
79,64,83,96,80
80,67,83,95,80
81,67,83,95,80
82,67,83,95,81
83,67,83,96,82
84,70,83,97,81
85,73,83,98,82
86,70,83,97,83
87,73,83,97,82
88,70,83,98,82
89,67,83,98,83
90,67,83,98,84
91,70,83,97,85
92,67,83,98,84
93,70,83,99,83
94,67,83,99,82
95,70,83,98,82
96,67,83,98,81
97,64,83,98,82
98,67,83,97,81
99,70,83,96,82
100,67,83,95,83
101,67,83,96,82
102,70,83,97,82
103,73,83,97,83
104,73,83,96,83
105,73,83,95,83
106,70,83,95,83
107,67,83,96,84
108,67,83,96,84
109,70,82,97,85
110,70,82,96,84
111,73,82,95,85
112,70,82,95,86
113,70,82,96,86
114,73,82,96,85
115,73,82,95,86
116,73,82,96,86
117,76,82,96,85
118,76,82,95,84
119,73,82,96,83
120,73,82,95,84
121,70,82,95,85
122,70,82,95,84
123,67,82,95,85
124,64,82,95,85
125,64,82,95,84
126,61,82,95,83
127,61,82,95,82
128,61,82,95,83
129,61,82,95,83
130,61,82,96,82
131,64,82,96,81
132,61,82,97,81
133,61,82,96,82
134,61,82,96,82
135,64,82,96,81
136,64,82,96,80
137,67,82,97,80
138,67,82,96,80
139,64,82,97,80
140,67,82,96,81
141,67,82,96,82
142,67,82,96,83
143,64,82,95,83
144,64,82,95,84
145,67,81,95,85
146,67,81,95,85
147,67,81,95,86
148,67,81,95,87
149,70,81,95,87
150,70,81,95,88
151,70,81,95,87
152,73,81,95,87
153,73,81,96,86
154,70,81,95,87
155,67,81,96,86
156,67,81,95,86
157,67,81,95,87
158,67,81,96,88
159,64,81,97,88
160,61,81,98,89
161,61,81,97,89
162,61,81,96,90
163,61,81,97,90
164,64,81,96,89
165,67,81,95,90
166,64,81,95,90
167,67,81,96,89
168,67,81,96,89
169,67,81,95,89
170,64,81,96,89
171,67,81,97,88
172,70,81,96,87
173,67,81,95,86
174,70,81,95,87
175,67,81,95,88
176,64,81,96,87
177,67,81,95,88
178,70,81,96,89
179,73,81,96,90
