time(s),RPM,Battery,Flow Rate,Blood Pressure
0,74,82,100,103
1,74,81,99,103.1
2,74,81,100,102.3
3,74,81,99,102.7
4,74,81,99,103.0
5,74,81,99,103.7
6,74,81,100,104.4
7,74,81,99,105.2
8,74,81,100,105.3
9,74,81,100,106.2
10,74,81,99,106.2
11,74,81,99,107.1
12,74,81,99,108.1
13,74,81,98,107.6
14,74,81,99,107.9
15,74,81,100,106.9
16,74,81,100,107.4
17,74,81,99,106.6
18,74,81,99,107.1
19,74,81,98,107.0
20,74,81,98,107.4
21,74,81,97,107.0
22,74,81,96,107.1
23,74,81,95,108.0
24,74,81,95,107.4
25,74,81,95,107.8
26,74,81,95,108.8
27,74,81,95,109.3
28,74,81,96,109.1
29,74,81,96,109.9
30,74,81,95,109.6
31,74,81,96,109.0
32,74,81,97,109.0
33,74,81,98,109.0
34,74,81,98,109.6
35,74,81,99,109.3
36,74,81,100,110.0
37,74,80,99,110.0
38,74,80,99,110.0
39,74,80,99,109.0
40,74,80,98,108.9
41,74,80,97,109.6
42,74,80,97,110.0
43,74,80,96,110.0
44,74,80,96,109.3
45,74,80,96,109.3
46,74,80,97,108.4
47,74,80,97,108.6
48,74,80,97,108.4
49,74,80,98,107.5
50,74,80,97,107.1
51,74,80,96,107.8
52,74,80,95,107.8
53,74,80,96,108.7
54,74,80,96,108.1
55,74,80,95,107.4
56,74,80,95,107.8
57,74,80,95,108.6
58,74,80,95,109.5
59,74,80,95,109.2
60,74,80,95,110.0
61,74,80,96,110.0
62,74,80,95,109.8
63,74,80,95,109.2
64,74,80,95,109.5
65,74,80,95,110.0
66,74,80,95,110.0
67,74,80,95,109.5
68,74,80,95,110.0
69,74,80,95,110.0
70,74,80,95,110.0
71,74,80,95,109.2
72,74,80,95,109.8
73,74,79,95,109.6
74,74,79,95,110.0
75,74,79,96,109.0
76,74,79,95,109.9
77,74,79,95,110.0
78,74,79,96,109.2
79,74,79,95,108.5
80,74,79,96,108.8
81,74,79,96,109.8
82,74,79,95,109.4
83,74,79,95,108.6
84,74,79,95,109.3
85,74,79,96,110.0
86,74,79,95,109.9
87,74,79,96,109.2
88,74,79,96,108.8
89,74,79,97,109.4
90,74,79,96,108.7
91,74,79,97,108.3
92,74,79,98,108.0
93,74,79,97,108.5
94,74,79,98,108.6
95,74,79,99,107.8
96,74,79,99,106.8
97,74,79,98,107.6
98,74,79,98,108.0
99,74,79,98,108.8
100,74,79,99,109.3
101,74,79,98,109.9
102,74,79,99,109.1
103,74,79,100,109.5
104,74,79,99,109.6
105,74,79,99,110.0
106,74,79,98,109.7
107,74,79,99,108.7
108,74,79,99,109.3
109,74,78,100,109.9
110,74,78,99,109.3
111,74,78,100,108.6
112,74,78,101,108.8
113,74,78,101,109.2
114,74,78,102,108.5
115,74,78,103,108.9
116,74,78,104,108.2
117,74,78,105,108.7
118,74,78,105,108.9
119,74,78,104,109.0
120,74,78,105,108.2
121,74,78,105,108.6
122,74,78,105,109.3
123,74,78,104,109.6
124,74,78,103,110.0
125,74,78,102,109.1
126,74,78,101,109.5
127,74,78,100,109.7
128,74,78,99,110.0
129,74,78,98,109.8
130,74,78,97,108.9
131,74,78,97,109.1
132,74,78,97,109.1
133,74,78,96,109.2
134,74,78,97,108.8
135,74,78,96,108.2
136,74,78,95,108.3
137,74,78,96,107.6
138,74,78,95,107.9
139,74,78,95,107.9
140,74,78,95,107.8
141,74,78,95,107.1
142,74,78,95,106.2
143,74,78,95,105.8
144,74,78,95,105.5
145,74,77,96,105.8
146,74,77,97,104.9
147,74,77,98,104.9
148,74,77,99,104.4
149,74,77,99,104.5
150,74,77,100,103.5
151,74,77,100,102.6
152,74,77,101,101.8
153,74,77,102,101.8
154,74,77,103,101.0
155,74,77,102,100.4
156,74,77,101,101.1
157,74,77,100,101.1
158,74,77,99,101.0
159,74,77,98,101.8
160,74,77,98,102.5
161,74,77,98,102.5
162,74,77,99,102.1
163,74,77,99,102.6
164,74,77,100,103.1
165,74,77,99,104.0
166,74,77,98,103.9
167,74,77,97,103.5
168,74,77,98,103.2
169,74,77,97,103.6
170,74,77,97,103.0
171,74,77,97,103.5
172,74,77,98,104.0
173,74,77,99,104.1
174,74,77,100,103.7
175,74,77,100,104.4
176,74,77,100,103.9
177,74,77,100,103.0
178,74,77,99,103.8
179,74,77,100,103.4
