time(s),RPM,Battery,Flow Rate,Blood Pressure
0,97,82,100,98
1,97,81,101,97.47824960515588
2,97,81,100,98.36894199324685
3,97,81,99,97.56286791482681
4,97,81,99,96.8068636043608
5,97,81,98,96.80713915257702
6,97,81,99,97.70150148984038
7,97,81,100,97.38425206936772
8,97,81,100,96.76306908331351
9,97,81,100,96.85412355851871
10,97,81,99,96.98803152332546
11,97,81,99,97.53924223844487
12,97,81,98,97.72630145180004
13,97,81,99,98.59783362484109
14,97,81,98,98.31807068471886
15,97,81,99,98.13651371119913
16,97,81,99,97.62775307368486
17,97,81,99,98.56747210698036
18,97,81,99,99.50462015326919
19,97,81,100,99.62075684612871
20,97,81,100,100.13758865717175
21,97,81,101,100.23479187606975
22,97,81,100,101.17799393036299
23,97,81,99,100.55809420295469
24,97,81,99,101.4104667239823
25,97,81,98,100.47272225266448
26,97,81,99,100.75275884013713
27,97,81,100,99.8827242108669
28,97,81,101,99.65048905752847
29,97,81,100,99.63560082672386
30,97,81,99,99.35168686502962
31,97,81,99,99.18140159286148
32,97,81,100,98.38510372494754
33,97,81,101,98.41348151667172
34,97,81,102,98.01592791321382
35,97,81,101,97.31417178467595
36,97,81,100,96.7613645383757
37,97,80,99,97.66351327431437
38,97,80,99,98.03307746237566
39,97,80,98,98.53566092457238
40,97,80,97,98.89931132759313
41,97,80,97,99.2956051614868
42,97,80,96,99.98217635450837
43,97,80,97,99.50014048900722
44,97,80,96,99.3257052281442
45,97,80,96,98.91876661848794
46,97,80,96,99.16159854692633
47,97,80,96,99.07695630927195
48,97,80,97,99.12629927323408
49,97,80,97,99.44989930267523
50,97,80,97,99.01234922996896
51,97,80,98,99.38509742045393
52,97,80,99,99.43231107306268
53,97,80,100,98.83900246349384
54,97,80,101,99.46273084585188
55,97,80,101,99.57942463705402
56,97,80,102,99.15799615519292
57,97,80,101,99.98215235214735
58,97,80,102,99.48636183494324
59,97,80,103,99.82228800321793
60,97,80,103,99.29480720799535
61,97,80,102,100.03012035494804
62,97,80,103,100.37100546061129
63,97,80,102,99.6487989816484
64,97,80,101,99.37002491424838
65,97,80,101,100.11161355249276
66,97,80,102,99.6404141240116
67,97,80,102,99.58769730083445
68,97,80,102,99.233175829001
69,97,80,103,98.31099970528331
70,97,80,103,98.6332981030823
71,97,80,104,98.44157934589772
72,97,80,104,98.27459296752674
73,97,79,103,98.5488526334841
74,97,79,104,98.54451289541782
75,97,79,103,99.32189466686737
76,97,79,103,99.71899919160806
77,97,79,103,98.80159158870154
78,97,79,103,99.01142212741584
79,97,79,102,99.91287785139208
80,97,79,101,100.17742712000255
81,97,79,100,101.11792614331917
82,97,79,101,101.35827656469496
83,97,79,100,101.41291086110768
84,97,79,99,101.51790838190337
85,97,79,98,101.3997879487269
86,97,79,99,101.4403169168124
87,97,79,100,101.65434813768566
88,97,79,101,101.68518641731887
89,97,79,102,102.3757973451804
90,97,79,102,102.77477862895337
91,97,79,101,102.68195910088622
92,97,79,101,102.18105927212451
93,97,79,102,101.84822112005598
94,97,79,101,102.09168702581972
95,97,79,101,101.48597451003478
96,97,79,101,100.7737714400675
97,97,79,101,101.10041416212154
98,97,79,102,100.44923445979613
99,97,79,101,101.10991223588324
100,97,79,102,100.90891278239128
101,97,79,101,101.52512598313074
102,97,79,102,101.46473235770183
103,97,79,101,100.8054940050253
104,97,79,102,101.28057588107342
105,97,79,103,101.31792611562409
106,97,79,103,101.75806413978059
107,97,79,104,102.0837313106703
108,97,79,104,101.28013147443089
109,97,78,105,101.59906316804914
110,97,78,105,100.79865128103297
111,97,78,104,101.13489443641055
112,97,78,103,100.21972575290454
113,97,78,103,100.3135902360143
114,97,78,102,100.62075721711855
115,97,78,101,100.71416102184017
116,97,78,102,99.84667568611322
117,97,78,102,99.20484998361535
118,97,78,102,99.78749789913495
119,97,78,102,100.49716780729189
120,97,78,101,100.38070957798713
121,97,78,102,100.01212151439309
122,97,78,102,100.66104269801872
123,97,78,101,99.7471909009599
124,97,78,100,100.33457727818855
125,97,78,101,100.75587133051859
126,97,78,101,100.36990898230022
127,97,78,101,99.41071438780828
128,97,78,102,98.97160987438141
129,97,78,101,98.21417565559456
130,97,78,102,98.4041774510131
131,97,78,101,98.9789146367121
132,97,78,100,99.51044682009851
133,97,78,101,99.2587785931972
134,97,78,100,98.42799812897077
135,97,78,100,98.85770156197853
136,97,78,100,98.68365866543876
137,97,78,100,98.15227705064177
138,97,78,99,97.46559370413706
139,97,78,98,97.01388783596026
140,97,78,97,98.00995619714578
141,97,78,97,98.12797506120663
142,97,78,96,97.70702188225933
143,97,78,95,97.0165996197922
144,97,78,96,97.31314119164496
145,97,77,96,98.25455374036025
146,97,77,97,98.1677499786511
147,97,77,96,98.74556266855618
148,97,77,96,99.67219759934663
149,97,77,96,99.53749183187887
150,97,77,96,99.2168035134497
151,97,77,97,99.69296643777915
152,97,77,97,100.35084223086508
153,97,77,96,100.30232801706381
154,97,77,96,99.37050793365418
155,97,77,97,99.5841734711454
156,97,77,97,99.06457103589335
157,97,77,98,99.29940459052104
158,97,77,99,98.79434029460049
159,97,77,99,98.69178745896552
160,97,77,99,98.25873926218172
161,97,77,98,98.58262657738958
162,97,77,97,99.34944540010325
163,97,77,97,98.52893233313877
164,97,77,98,98.62931944633118
165,97,77,97,99.0252900384864
166,97,77,96,98.90150710040707
167,97,77,97,99.64587952546232
168,97,77,97,98.92361141743442
169,97,77,97,98.85376990379697
170,97,77,97,98.64679489428521
171,97,77,98,98.14169586522138
172,97,77,98,97.34986389132611
173,97,77,99,97.99174096265173
174,97,77,100,98.97465713256896
175,97,77,101,98.90795933494293
176,97,77,100,99.28271356733951
177,97,77,101,98.96525078122313
178,97,77,102,99.11389295369382
179,97,77,102,98.68963438145758
