time(s),RPM,Battery,Flow Rate,Blood Pressure
0,95,71,100,104
1,95,70,101,103
2,95,70,102,104
3,92,70,103,105
4,92,70,104,106
5,95,70,104,105
6,95,70,104,106
7,95,70,103,106
8,98,70,102,106
9,98,70,103,105
10,98,70,102,106
11,98,70,101,105
12,95,70,100,105
13,95,70,99,106
14,92,70,98,106
15,89,70,99,107
16,86,70,99,108
17,86,70,100,109
18,86,70,99,109
19,83,70,100,109
20,86,70,100,109
21,89,70,100,108
22,86,70,99,108
23,83,70,98,107
24,83,70,98,108
25,83,70,98,108
26,83,70,97,108
27,83,70,97,107
28,83,70,96,106
29,83,70,97,106
30,80,70,96,105
31,80,70,96,104
32,77,70,97,103
33,74,70,96,102
34,77,70,97,102
35,80,70,97,101
36,80,70,96,100
37,83,69,95,100
38,83,69,95,100
39,86,69,96,101
40,83,69,96,102
41,86,69,97,101
42,83,69,97,101
43,83,69,96,100
44,83,69,96,100
45,80,69,96,99
46,83,69,97,98
47,86,69,96,97
48,83,69,95,98
49,86,69,96,99
50,83,69,95,99
51,83,69,95,99
52,80,69,96,98
53,80,69,95,97
54,77,69,95,97
55,77,69,95,98
56,74,69,96,97
57,77,69,95,98
58,77,69,95,99
59,74,69,96,99
60,77,69,95,100
61,77,69,95,100
62,80,69,95,99
63,77,69,96,99
64,80,69,96,99
65,80,69,95,100
66,77,69,95,99
67,74,69,95,99
68,77,69,96,99
69,74,69,95,98
70,71,69,95,98
71,74,69,96,98
72,71,69,96,99
73,68,68,96,99
74,65,68,96,99
75,65,68,97,99
76,62,68,96,100
77,62,68,95,101
78,65,68,96,100
79,62,68,97,100
80,62,68,98,100
81,65,68,97,100
82,65,68,97,101
83,68,68,98,101
84,71,68,97,101
85,71,68,97,102
86,74,68,97,101
87,71,68,98,102
88,71,68,99,102
89,74,68,99,101
90,74,68,98,102
91,74,68,98,102
92,74,68,97,101
93,74,68,96,100
94,77,68,96,99
95,80,68,96,99
96,77,68,97,99
97,74,68,98,99
98,77,68,98,99
99,74,68,98,98
100,77,68,97,97
101,74,68,96,97
102,74,68,95,96
103,71,68,95,95
104,68,68,95,94
105,71,68,96,95
106,74,68,95,94
107,77,68,95,94
108,74,68,95,94
109,74,67,95,94
110,71,67,96,93
111,71,67,96,92
112,71,67,95,92
113,74,67,95,92
114,77,67,95,93
115,77,67,95,94
116,80,67,96,93
117,77,67,96,93
118,74,67,95,92
119,71,67,95,93
120,68,67,96,94
121,65,67,96,93
122,68,67,96,93
123,65,67,97,93
124,62,67,97,94
125,65,67,97,95
126,62,67,96,94
127,65,67,95,93
128,65,67,95,94
129,68,67,95,95
130,71,67,95,95
131,71,67,95,95
132,74,67,96,94
133,74,67,96,93
134,77,67,95,92
135,74,67,95,92
136,71,67,95,92
137,74,67,95,91
138,74,67,95,92
139,77,67,95,92
140,77,67,95,92
141,80,67,95,92
142,77,67,96,91
143,80,67,97,91
144,83,67,98,92
145,86,66,98,92
146,86,66,97,92
147,89,66,98,93
148,89,66,99,93
149,86,66,99,93
150,86,66,98,92
151,89,66,98,92
152,89,66,98,91
153,92,66,97,91
154,95,66,96,90
155,98,66,97,89
156,95,66,97,89
157,98,66,96,90
158,98,66,95,90
159,98,66,96,91
160,98,66,97,90
161,95,66,98,90
162,95,66,98,91
163,92,66,99,92
164,92,66,100,93
165,89,66,99,94
166,86,66,99,93
167,83,66,100,92
168,86,66,100,91
169,86,66,100,90
170,86,66,99,90
171,86,66,100,90
172,83,66,100,89
173,86,66,99,89
174,86,66,99,90
175,86,66,98,89
176,83,66,98,88
177,80,66,98,88
178,77,66,97,89
179,74,66,96,89
